NSample,Dimension,Distribution,prob
40,530,Bernoulli,0.995
40,530,Laplacian,0.9975
40,530,Radamacher,0.9925
40,540,Uniform,0.9925
40,540,Gaussian,0.995
40,540,GaussianBiased,0.9925
40,540,Bernoulli,0.995
40,540,Laplacian,0.995
40,540,Radamacher,0.99
40,550,Uniform,0.9925
40,550,Gaussian,0.9975
40,550,GaussianBiased,1.0
40,550,Bernoulli,1.0
40,550,Laplacian,0.99
40,550,Radamacher,0.995
40,560,Uniform,0.9975
40,560,Gaussian,0.9925
40,560,GaussianBiased,0.995
40,560,Bernoulli,0.9925
40,560,Laplacian,0.9925
40,560,Radamacher,1.0
40,570,Uniform,0.995
40,570,Gaussian,0.99
40,570,GaussianBiased,1.0
40,570,Bernoulli,0.9975
40,570,Laplacian,0.9925
40,570,Radamacher,0.9975
40,580,Uniform,0.995
40,580,Gaussian,0.99
40,580,GaussianBiased,0.9975
40,580,Bernoulli,0.9975
40,580,Laplacian,0.995
40,580,Radamacher,0.995
40,590,Uniform,0.9975
40,590,Gaussian,0.9975
40,590,GaussianBiased,0.99
40,590,Bernoulli,0.9975
40,590,Laplacian,0.995
40,590,Radamacher,0.9975
40,600,Uniform,0.995
40,600,Gaussian,1.0
40,600,GaussianBiased,1.0
40,600,Bernoulli,1.0
40,600,Laplacian,0.995
40,600,Radamacher,0.9975
40,610,Uniform,0.995
40,610,Gaussian,1.0
40,610,GaussianBiased,0.995
40,610,Bernoulli,0.9975
40,610,Laplacian,1.0
40,610,Radamacher,1.0
40,620,Uniform,1.0
40,620,Gaussian,0.9975
40,620,GaussianBiased,1.0
40,620,Bernoulli,1.0
40,620,Laplacian,0.9925
40,620,Radamacher,0.9975
40,630,Uniform,0.9975
40,630,Gaussian,1.0
40,630,GaussianBiased,0.9975
40,630,Bernoulli,0.9975
40,630,Laplacian,0.9975
40,630,Radamacher,1.0
40,640,Uniform,1.0
40,640,Gaussian,0.995
40,640,GaussianBiased,0.9975
40,640,Bernoulli,0.9975
40,640,Laplacian,0.9975
40,640,Radamacher,0.995
40,650,Uniform,0.9975
40,650,Gaussian,1.0
40,650,GaussianBiased,0.995
40,650,Bernoulli,0.9975
40,650,Laplacian,1.0
40,650,Radamacher,0.9975
40,660,Uniform,1.0
40,660,Gaussian,1.0
40,660,GaussianBiased,0.9975
40,660,Bernoulli,1.0
40,660,Laplacian,0.9975
40,660,Radamacher,0.9975
40,670,Uniform,1.0
40,670,Gaussian,0.9925
40,670,GaussianBiased,1.0
40,670,Bernoulli,1.0
40,670,Laplacian,0.9975
40,670,Radamacher,0.9975
40,680,Uniform,1.0
40,680,Gaussian,0.995
40,680,GaussianBiased,1.0
40,680,Bernoulli,1.0
40,680,Laplacian,1.0
40,680,Radamacher,1.0
40,690,Uniform,0.9975
40,690,Gaussian,1.0
40,690,GaussianBiased,1.0
40,690,Bernoulli,1.0
40,690,Laplacian,0.995
40,690,Radamacher,1.0
40,700,Uniform,1.0
40,700,Gaussian,1.0
40,700,GaussianBiased,1.0
