NSample,Dimension,Distribution,prob
48,880,Gaussian,1.0
48,890,Gaussian,1.0
48,900,Gaussian,1.0
48,910,Gaussian,1.0
48,920,Gaussian,0.9975
48,930,Gaussian,0.9975
48,940,Gaussian,1.0
48,950,Gaussian,1.0
48,960,Gaussian,1.0
48,970,Gaussian,1.0
48,980,Gaussian,1.0
48,990,Gaussian,0.9975
50,100,Gaussian,0.0
50,110,Gaussian,0.0
50,120,Gaussian,0.005
50,130,Gaussian,0.0
50,140,Gaussian,0.01
50,150,Gaussian,0.015
50,160,Gaussian,0.0325
50,170,Gaussian,0.045
50,180,Gaussian,0.05
50,190,Gaussian,0.0875
50,200,Gaussian,0.1225
50,210,Gaussian,0.1475
50,220,Gaussian,0.195
50,230,Gaussian,0.2325
50,240,Gaussian,0.3125
50,250,Gaussian,0.3425
50,260,Gaussian,0.35
50,270,Gaussian,0.4025
50,280,Gaussian,0.45
50,290,Gaussian,0.4875
50,300,Gaussian,0.5475
50,310,Gaussian,0.57
50,320,Gaussian,0.6375
50,330,Gaussian,0.6525
50,340,Gaussian,0.695
50,350,Gaussian,0.74
50,360,Gaussian,0.7075
50,370,Gaussian,0.775
50,380,Gaussian,0.77
50,390,Gaussian,0.805
50,400,Gaussian,0.8125
50,410,Gaussian,0.81
50,420,Gaussian,0.85
50,430,Gaussian,0.8925
50,440,Gaussian,0.8875
50,450,Gaussian,0.885
50,460,Gaussian,0.9175
50,470,Gaussian,0.91
50,480,Gaussian,0.92
50,490,Gaussian,0.93
50,500,Gaussian,0.9325
50,510,Gaussian,0.945
50,520,Gaussian,0.9675
50,530,Gaussian,0.94
50,540,Gaussian,0.9525
50,550,Gaussian,0.9725
50,560,Gaussian,0.955
50,570,Gaussian,0.9725
50,580,Gaussian,0.975
50,590,Gaussian,0.9675
50,600,Gaussian,0.985
50,610,Gaussian,0.9925
50,620,Gaussian,0.9825
50,630,Gaussian,0.99
50,640,Gaussian,0.985
50,650,Gaussian,0.99
50,660,Gaussian,0.985
50,670,Gaussian,0.99
50,680,Gaussian,0.9975
50,690,Gaussian,0.99
50,700,Gaussian,0.9925
50,710,Gaussian,0.995
50,720,Gaussian,0.9925
50,730,Gaussian,0.995
50,740,Gaussian,0.995
50,750,Gaussian,0.99
50,760,Gaussian,0.995
50,770,Gaussian,0.9975
50,780,Gaussian,1.0
50,790,Gaussian,0.995
50,800,Gaussian,0.9975
50,810,Gaussian,1.0
50,820,Gaussian,1.0
50,830,Gaussian,0.995
50,840,Gaussian,1.0
50,850,Gaussian,1.0
50,860,Gaussian,0.9975
50,870,Gaussian,0.995
50,880,Gaussian,1.0
50,890,Gaussian,1.0
50,900,Gaussian,0.9975
50,910,Gaussian,1.0
50,920,Gaussian,1.0
50,930,Gaussian,0.9975
50,940,Gaussian,1.0
50,950,Gaussian,0.9975
50,960,Gaussian,1.0
50,970,Gaussian,1.0
50,980,Gaussian,1.0
50,990,Gaussian,1.0
52,100,Gaussian,0.0
52,110,Gaussian,0.0
52,120,Gaussian,0.0025
52,130,Gaussian,0.0
52,140,Gaussian,0.0
52,150,Gaussian,0.0075
52,160,Gaussian,0.01
52,170,Gaussian,0.0225
52,180,Gaussian,0.04
52,190,Gaussian,0.06
52,200,Gaussian,0.07
52,210,Gaussian,0.11
52,220,Gaussian,0.155
52,230,Gaussian,0.1575
52,240,Gaussian,0.2
52,250,Gaussian,0.22
52,260,Gaussian,0.29
52,270,Gaussian,0.3725
52,280,Gaussian,0.3725
52,290,Gaussian,0.425
52,300,Gaussian,0.445
52,310,Gaussian,0.535
52,320,Gaussian,0.5275
52,330,Gaussian,0.5775
52,340,Gaussian,0.62
52,350,Gaussian,0.6325
52,360,Gaussian,0.69
52,370,Gaussian,0.7075
52,380,Gaussian,0.74
52,390,Gaussian,0.75
52,400,Gaussian,0.7875
52,410,Gaussian,0.785
52,420,Gaussian,0.8675
52,430,Gaussian,0.82
52,440,Gaussian,0.855
52,450,Gaussian,0.8825
52,460,Gaussian,0.8825
52,470,Gaussian,0.89
52,480,Gaussian,0.9
52,490,Gaussian,0.9125
52,500,Gaussian,0.915
52,510,Gaussian,0.94
52,520,Gaussian,0.93
52,530,Gaussian,0.96
52,540,Gaussian,0.955
52,550,Gaussian,0.96
52,560,Gaussian,0.955
52,570,Gaussian,0.95
52,580,Gaussian,0.97
52,590,Gaussian,0.96
52,600,Gaussian,0.9675
52,610,Gaussian,0.9875
52,620,Gaussian,0.9725
52,630,Gaussian,0.97
52,640,Gaussian,0.975
52,650,Gaussian,0.9875
52,660,Gaussian,0.9775
52,670,Gaussian,0.985
52,680,Gaussian,0.995
52,690,Gaussian,0.99
52,700,Gaussian,0.9825
52,710,Gaussian,0.99
52,720,Gaussian,0.9975
52,730,Gaussian,0.9975
52,740,Gaussian,0.995
52,750,Gaussian,1.0
52,760,Gaussian,0.99
52,770,Gaussian,0.9975
52,780,Gaussian,1.0
52,790,Gaussian,0.995
52,800,Gaussian,0.995
52,810,Gaussian,0.995
52,820,Gaussian,1.0
52,830,Gaussian,0.995
52,840,Gaussian,0.9975
52,850,Gaussian,0.9975
52,860,Gaussian,0.9975
52,870,Gaussian,0.9975
52,880,Gaussian,1.0
52,890,Gaussian,1.0
52,900,Gaussian,1.0
52,910,Gaussian,1.0
52,920,Gaussian,1.0
52,930,Gaussian,1.0
52,940,Gaussian,1.0
52,950,Gaussian,1.0
52,960,Gaussian,0.9975
52,970,Gaussian,1.0
52,980,Gaussian,1.0
52,990,Gaussian,1.0
54,100,Gaussian,0.0
54,110,Gaussian,0.0
54,120,Gaussian,0.0
54,130,Gaussian,0.0025
54,140,Gaussian,0.0075
54,150,Gaussian,0.0075
54,160,Gaussian,0.0025
54,170,Gaussian,0.0125
54,180,Gaussian,0.0175
54,190,Gaussian,0.035
54,200,Gaussian,0.08
54,210,Gaussian,0.0925
54,220,Gaussian,0.1025
54,230,Gaussian,0.105
54,240,Gaussian,0.1625
54,250,Gaussian,0.1775
54,260,Gaussian,0.255
54,270,Gaussian,0.295
54,280,Gaussian,0.3575
54,290,Gaussian,0.3675
54,300,Gaussian,0.455
54,310,Gaussian,0.475
54,320,Gaussian,0.505
54,330,Gaussian,0.53
54,340,Gaussian,0.575
54,350,Gaussian,0.62
54,360,Gaussian,0.65
54,370,Gaussian,0.6525
54,380,Gaussian,0.7375
54,390,Gaussian,0.76
54,400,Gaussian,0.7225
54,410,Gaussian,0.7425
54,420,Gaussian,0.7875
54,430,Gaussian,0.81
54,440,Gaussian,0.86
54,450,Gaussian,0.825
54,460,Gaussian,0.845
54,470,Gaussian,0.8775
54,480,Gaussian,0.9175
54,490,Gaussian,0.8975
54,500,Gaussian,0.895
54,510,Gaussian,0.885
54,520,Gaussian,0.9425
54,530,Gaussian,0.9225
54,540,Gaussian,0.9225
54,550,Gaussian,0.9575
54,560,Gaussian,0.93
54,570,Gaussian,0.96
54,580,Gaussian,0.9625
54,590,Gaussian,0.96
54,600,Gaussian,0.9725
54,610,Gaussian,0.975
54,620,Gaussian,0.9725
54,630,Gaussian,0.9825
54,640,Gaussian,0.965
54,650,Gaussian,0.985
54,660,Gaussian,0.9825
54,670,Gaussian,0.9775
54,680,Gaussian,0.9775
54,690,Gaussian,0.985
54,700,Gaussian,0.99
54,710,Gaussian,0.975
54,720,Gaussian,0.985
54,730,Gaussian,0.995
54,740,Gaussian,0.9875
54,750,Gaussian,0.9825
54,760,Gaussian,0.9825
54,770,Gaussian,0.9975
54,780,Gaussian,0.9925
54,790,Gaussian,0.995
54,800,Gaussian,0.99
54,810,Gaussian,0.99
54,820,Gaussian,0.9975
54,830,Gaussian,0.9925
54,840,Gaussian,1.0
54,850,Gaussian,0.9975
54,860,Gaussian,0.9975
54,870,Gaussian,0.995
54,880,Gaussian,0.9975
54,890,Gaussian,0.9975
54,900,Gaussian,0.9975
54,910,Gaussian,1.0
54,920,Gaussian,1.0
54,930,Gaussian,1.0
54,940,Gaussian,1.0
54,950,Gaussian,1.0
54,960,Gaussian,1.0
54,970,Gaussian,1.0
54,980,Gaussian,1.0
54,990,Gaussian,1.0
56,100,Gaussian,0.0
56,110,Gaussian,0.0
56,120,Gaussian,0.0
56,130,Gaussian,0.0
56,140,Gaussian,0.0025
56,150,Gaussian,0.0025
56,160,Gaussian,0.0025
56,170,Gaussian,0.005
56,180,Gaussian,0.015
56,190,Gaussian,0.0275
56,200,Gaussian,0.03
56,210,Gaussian,0.0625
56,220,Gaussian,0.07
56,230,Gaussian,0.1075
56,240,Gaussian,0.125
56,250,Gaussian,0.17
56,260,Gaussian,0.2075
56,270,Gaussian,0.2125
56,280,Gaussian,0.3025
56,290,Gaussian,0.2725
56,300,Gaussian,0.32
56,310,Gaussian,0.405
56,320,Gaussian,0.4025
56,330,Gaussian,0.445
56,340,Gaussian,0.535
56,350,Gaussian,0.525
56,360,Gaussian,0.5775
56,370,Gaussian,0.5975
56,380,Gaussian,0.63
56,390,Gaussian,0.6675
56,400,Gaussian,0.685
56,410,Gaussian,0.7325
56,420,Gaussian,0.73
56,430,Gaussian,0.76
56,440,Gaussian,0.81
56,450,Gaussian,0.81
56,460,Gaussian,0.8075
56,470,Gaussian,0.8325
56,480,Gaussian,0.8575
56,490,Gaussian,0.8675
56,500,Gaussian,0.8725
56,510,Gaussian,0.9025
56,520,Gaussian,0.92
56,530,Gaussian,0.925
56,540,Gaussian,0.9275
56,550,Gaussian,0.925
56,560,Gaussian,0.9225
56,570,Gaussian,0.9325
56,580,Gaussian,0.95
56,590,Gaussian,0.9525
56,600,Gaussian,0.9525
56,610,Gaussian,0.9525
56,620,Gaussian,0.96
56,630,Gaussian,0.9625
56,640,Gaussian,0.965
56,650,Gaussian,0.975
56,660,Gaussian,0.97
56,670,Gaussian,0.9725
56,680,Gaussian,0.97
56,690,Gaussian,0.98
56,700,Gaussian,0.98
56,710,Gaussian,0.9725
56,720,Gaussian,0.99
56,730,Gaussian,0.985
56,740,Gaussian,0.9875
56,750,Gaussian,0.99
56,760,Gaussian,0.995
56,770,Gaussian,0.99
56,780,Gaussian,0.9975
56,790,Gaussian,0.9925
56,800,Gaussian,0.995
56,810,Gaussian,0.995
56,820,Gaussian,0.995
56,830,Gaussian,0.9925
56,840,Gaussian,0.995
56,850,Gaussian,0.9975
56,860,Gaussian,0.995
56,870,Gaussian,0.9975
56,880,Gaussian,1.0
56,890,Gaussian,0.9975
56,900,Gaussian,0.9975
56,910,Gaussian,0.9975
56,920,Gaussian,0.995
56,930,Gaussian,0.9975
56,940,Gaussian,0.995
56,950,Gaussian,1.0
56,960,Gaussian,1.0
56,970,Gaussian,0.9975
56,980,Gaussian,1.0
56,990,Gaussian,1.0
58,100,Gaussian,0.0
58,110,Gaussian,0.0
58,120,Gaussian,0.0
58,130,Gaussian,0.0
58,140,Gaussian,0.0
58,150,Gaussian,0.0
58,160,Gaussian,0.0025
58,170,Gaussian,0.01
58,180,Gaussian,0.0075
58,190,Gaussian,0.025
58,200,Gaussian,0.02
58,210,Gaussian,0.0325
58,220,Gaussian,0.0425
58,230,Gaussian,0.08
58,240,Gaussian,0.105
58,250,Gaussian,0.1225
58,260,Gaussian,0.1325
58,270,Gaussian,0.205
58,280,Gaussian,0.245
58,290,Gaussian,0.2625
58,300,Gaussian,0.305
58,310,Gaussian,0.33
58,320,Gaussian,0.395
